channel,message_id,date,views,forwards,raw_text
@daryo,135478,2026-08-12 10:50:25,77095,35,"**15 mln Qozog‘iston fuqarosining ma’lumoti darknetda sizdirilgani haqida xabar tarqaldi**

Ular orasida pasport, telefon raqamlari, elektron pochta manzillari va ish joyi haqidagi ma’lumotlar borligi aytilmoqda. Qozog‘iston Sun’iy intellekt va raqamli rivojlanish vazirligi munosabat bildirdi.

Batafsil — https://daryo.uz/x3itoCyDg

👉 Obuna bo'ling — @daryo"
@daryo,135479,2026-08-12 11:32:39,72697,11,"**Biznesni rivojlantirish banki “Biznes 24/7” onlayn banking platformasini Dibank xizmatiga uladi**

Batafsil — [https://daryo.uz/3MCXSCsDg](https://daryo.uz/2026/08/12/biznesni-rivojlantirish-banki-biznes-247-onlayn-banking-platformasini-dibank-xizmatiga-uladi)

Reklama"
@daryo,135480,2026-08-12 11:42:01,73188,63,"**Parvozda 90 metrga pastlab ketgan samolyot uchuvchisi narkotik chekkani ma’lum bo‘ldi (video)**

Pxuketdan Nyu Dehliga uchayotgan samolyotda 137 nafar yo‘lovchi va 8 nafar ekipaj a’zosi bo‘lgan. Turbulentlik hamda keskin pastlash tufayli 24 kishi jarohatlangan.

Batafsil — https://daryo.uz/-fJmajyDg

👉 Obuna bo'ling — @daryo"
@daryo,135481,2026-08-12 12:20:25,70851,13,"**Qirg‘izistonda xalqaro qidiruvda bo‘lgan ikki o‘zbekistonlik ushlandi**

Ular fuqarolarga va huquq-tartibot xodimlariga nisbatan kuch ishlatish hamda qotillik kabi jinoyatlarda gumonlanmoqda.

Batafsil — https://daryo.uz/BfPo-Cyvg

👉 Obuna bo‘ling — @daryo"
@daryo,135482,2026-08-12 13:01:39,72589,14,"**O‘zbekistonda dollar 2 kunlik pastlashdan so‘ng ko‘tarildi**

Markaziy bank xorijiy valyutalarning o‘zbek so‘miga nisbatan 13-avgustda amalda bo‘ladigan qiymatini eʼlon qildi.

Batafsil — https://daryo.uz/UV3kwCyDg

👉 Obuna bo'ling — @daryo"
@daryo,135483,2026-08-12 13:25:01,75483,24,"**Toshkentda YPX xodimiga bo‘ysunmagan mototsiklchi 15 sutkaga qamaldi**

Ijtimoiy tarmoqlarda tarqalgan videoda YPX xodimining to‘xtash ishorasiga bo‘ysunmay harakatni davom ettirgan va bu jarayonni tasvirga olib tarqatgan mototsiklchi aks etgan edi. Soatiga 210 km tezlikda harakatlangan yana bir haydovchi jarimaga tortildi.

Batafsil — https://daryo.uz/yLSSYCyDg

👉 Obuna bo'ling — @daryo"
@daryo,135484,2026-08-12 13:57:29,78678,11,"**Namanganda 577 mln so‘mlik hujjatsiz va sifati kafolatlanmagan dori vositalari aniqlandi**

Dori vositalari qo‘shni respublika hududidan aylanma yo‘llar orqali olib kirilib, “yashirin ombor” sifatida foydalanilgan xonadonda saqlangan. Holat yuzasidan jinoyat ishi qo‘zg‘atildi.

Batafsil — https://daryo.uz/pqshuCsDR

👉 Obuna bo‘ling — @daryo"
@daryo,135485,2026-08-12 14:30:01,79253,13,"**Liviyaning eng yirik neftni qayta ishlash zavodiga dronlar hujumi uyushtirildi**

Yonilg‘i omborida kuchli yong‘in chiqib, millionlab litr benzin saqlangan bak qulab tushdi. Hukumat hodisani uyushtirilgan hujum deb baholadi va javobsiz qolmasligini ma’lum qildi.

Batafsil — https://daryo.uz/Q28olCsDR

👉 Obuna bo'ling — @daryo"
@daryo,135486,2026-08-12 15:01:30,83073,14,"**O‘zbekistonlik o‘quvchilar 2026-yilda xalqaro fan olimpiadalarida 220 ta medal qo‘lga kiritdi**

Eng nufuzli xalqaro fan olimpiadalarida O‘zbekiston vakillari 16 ta medal, jumladan, 1 ta oltin, 7 ta kumush va 8 ta bronza medalga ega chiqdi.

Batafsil — https://daryo.uz/jLMdqCyDR

👉 Obuna bo'ling — @daryo"
@daryo,135487,2026-08-12 15:30:01,82845,22,"**Eronda o‘zini zo‘ravonlikdan himoya qilgan 24 yoshli ayol qatl etildi — OAV**

Olti yil oldin majburan turmushga berilgan Marziya o‘z erini o‘ldirishda ayblangan. U turmush o‘rtog‘i va uning sherigi tajovuziga qarshilik ko‘rsatgani aytilmoqda.

Batafsil — https://daryo.uz/h7zsuCyvR

👉 Obuna bo‘ling — @daryo"
